year,ai,nukes,unknown,nano,natural,bio
2023,0.01115,5e-05,1e-06,1e-06,1e-06,1e-06
2024,0.01201,9e-05,2e-06,2e-06,2e-06,1.1000000000000001e-05
2025,0.01378,0.00013000000000000002,3e-06,3e-06,3e-06,2.1000000000000002e-05
2026,0.022170000000000002,0.00023,4e-06,4e-06,4e-06,2.2000000000000003e-05
2027,0.03903,0.00031,4.9999999999999996e-06,4.9999999999999996e-06,4.9999999999999996e-06,2.3000000000000003e-05
2028,0.06037000000000001,0.00039,1.5e-05,5.999999999999999e-06,5.999999999999999e-06,2.4000000000000004e-05
2029,0.07987000000000001,0.00042,3.5000000000000004e-05,1.6e-05,6.999999999999999e-06,2.5000000000000005e-05
2030,0.09478,0.0005,3.6e-05,1.7e-05,8e-06,2.6000000000000005e-05
2031,0.10668,0.00057,3.7e-05,1.8e-05,9e-06,3.600000000000001e-05
2032,0.11614,0.00075,3.7999999999999995e-05,1.9e-05,1e-05,5.6000000000000006e-05
2033,0.12405,0.00091,4.7999999999999994e-05,2e-05,1.1000000000000001e-05,6.6e-05
2034,0.13038,0.00104,4.899999999999999e-05,2.1000000000000002e-05,1.2000000000000002e-05,6.7e-05
2035,0.13666,0.0011699999999999998,4.999999999999999e-05,2.2000000000000003e-05,1.3000000000000003e-05,7.7e-05
2036,0.14223,0.0013099999999999997,5.999999999999999e-05,2.3000000000000003e-05,1.4000000000000003e-05,7.8e-05
2037,0.14769,0.0013599999999999997,6.0999999999999985e-05,2.4000000000000004e-05,1.5000000000000004e-05,9.8e-05
2038,0.15239999999999998,0.0014099999999999996,6.199999999999999e-05,2.5000000000000005e-05,1.6000000000000003e-05,9.9e-05
2039,0.15652999999999997,0.0014799999999999995,6.299999999999999e-05,2.6000000000000005e-05,1.7000000000000003e-05,9.999999999999999e-05
2040,0.16046999999999997,0.0015399999999999995,6.399999999999998e-05,2.7000000000000006e-05,1.8000000000000004e-05,0.00010099999999999999
2041,0.16413999999999998,0.0015999999999999994,6.499999999999998e-05,2.8000000000000006e-05,1.9000000000000004e-05,0.00010199999999999999
2042,0.16754999999999998,0.0016599999999999994,6.599999999999998e-05,3.800000000000001e-05,2.0000000000000005e-05,0.00010299999999999998
2043,0.17076999999999998,0.0016899999999999994,7.599999999999998e-05,3.9000000000000006e-05,2.1000000000000006e-05,0.00010399999999999998
2044,0.17426999999999998,0.0017799999999999995,7.699999999999997e-05,4.9000000000000005e-05,2.2000000000000006e-05,0.00010499999999999998
2045,0.17730999999999997,0.0017999999999999995,8.699999999999997e-05,5e-05,2.3000000000000007e-05,0.00010599999999999997
2046,0.18022999999999997,0.0018199999999999996,8.799999999999997e-05,5.1e-05,2.4000000000000007e-05,0.00010699999999999997
2047,0.18305999999999997,0.0018799999999999995,9.799999999999997e-05,6.1e-05,2.5000000000000008e-05,0.00010799999999999997
2048,0.18582999999999997,0.0018999999999999996,9.899999999999997e-05,6.2e-05,2.600000000000001e-05,0.00011799999999999997
2049,0.18866999999999998,0.0019099999999999996,9.999999999999996e-05,6.3e-05,2.700000000000001e-05,0.00012799999999999997
2050,0.19165,0.0019299999999999996,0.00010999999999999996,6.4e-05,2.800000000000001e-05,0.00012899999999999996
2051,0.19421,0.0019799999999999996,0.00011999999999999996,7.4e-05,2.900000000000001e-05,0.00013899999999999996
2052,0.19695,0.0020199999999999997,0.00015999999999999996,7.5e-05,3.000000000000001e-05,0.00013999999999999996
2053,0.19967,0.002021,0.00016099999999999996,7.599999999999999e-05,3.100000000000001e-05,0.00014099999999999996
2054,0.20243999999999998,0.002031,0.00017099999999999996,7.699999999999999e-05,3.2000000000000005e-05,0.00014199999999999996
2055,0.20495,0.002081,0.00017199999999999995,7.799999999999999e-05,3.3e-05,0.00014299999999999995
2056,0.20728,0.002082,0.00018199999999999995,7.899999999999998e-05,3.4e-05,0.00014399999999999995
2057,0.20919,0.002083,0.00020199999999999995,8.899999999999998e-05,3.5e-05,0.00014499999999999995
2058,0.21123999999999998,0.0021130000000000003,0.00020299999999999995,8.999999999999998e-05,3.5999999999999994e-05,0.00014599999999999994
2059,0.21313,0.0021140000000000004,0.00022299999999999995,9.099999999999998e-05,3.699999999999999e-05,0.00014699999999999994
2060,0.21488,0.0021240000000000005,0.00024299999999999994,9.199999999999997e-05,3.799999999999999e-05,0.00014799999999999994
2061,0.21670999999999999,0.0021250000000000006,0.00025299999999999997,9.299999999999997e-05,3.8999999999999986e-05,0.00015799999999999994
2062,0.21825999999999998,0.0021650000000000007,0.000263,9.399999999999997e-05,3.999999999999998e-05,0.00015899999999999993
2063,0.21966999999999998,0.002166000000000001,0.000264,0.00010399999999999997,4.099999999999998e-05,0.00015999999999999993
2064,0.22119999999999998,0.002196000000000001,0.00026500000000000004,0.00011399999999999997,4.199999999999998e-05,0.00016999999999999993
2065,0.22257999999999997,0.002206000000000001,0.00026600000000000007,0.00011499999999999996,4.2999999999999975e-05,0.00017099999999999993
2066,0.22369999999999998,0.002236000000000001,0.0002670000000000001,0.00011599999999999996,4.399999999999997e-05,0.00019099999999999993
2067,0.22487,0.002256000000000001,0.0002770000000000001,0.00011699999999999996,4.499999999999997e-05,0.00019199999999999992
2068,0.22583999999999999,0.002266000000000001,0.00027800000000000014,0.00012699999999999997,4.5999999999999966e-05,0.00020199999999999992
2069,0.22690999999999997,0.002276000000000001,0.00028800000000000017,0.00014699999999999997,4.699999999999996e-05,0.00020299999999999992
2070,0.22790999999999997,0.0023160000000000012,0.0002890000000000002,0.00014799999999999997,4.799999999999996e-05,0.00021299999999999992
2071,0.22862999999999997,0.0023260000000000012,0.0003090000000000002,0.00014899999999999996,4.899999999999996e-05,0.00021399999999999992
2072,0.22952999999999998,0.0023460000000000013,0.0003100000000000002,0.00014999999999999996,4.9999999999999955e-05,0.0002149999999999999
2073,0.23043,0.0023470000000000014,0.00032000000000000024,0.00015999999999999996,5.099999999999995e-05,0.0002159999999999999
2074,0.23099999999999998,0.0023770000000000015,0.00032100000000000027,0.00016099999999999996,5.199999999999995e-05,0.0002259999999999999
2075,0.23163999999999998,0.0024070000000000016,0.0003220000000000003,0.00016199999999999995,5.2999999999999947e-05,0.0002269999999999999
2076,0.23221999999999998,0.0024080000000000017,0.0003420000000000003,0.00016299999999999995,5.3999999999999944e-05,0.0002279999999999999
2077,0.23281,0.0024180000000000017,0.0003520000000000003,0.00016399999999999995,5.499999999999994e-05,0.0002289999999999999
2078,0.23332,0.0024280000000000018,0.00036200000000000034,0.00018399999999999995,5.599999999999994e-05,0.0002299999999999999
2079,0.23398,0.002448000000000002,0.00038200000000000034,0.00018499999999999994,5.6999999999999935e-05,0.0002309999999999999
2080,0.23443,0.002449000000000002,0.00038300000000000036,0.00019499999999999994,5.799999999999993e-05,0.0002319999999999999
2081,0.23493,0.002450000000000002,0.0003840000000000004,0.00019599999999999994,5.899999999999993e-05,0.0002329999999999999
2082,0.23525,0.002460000000000002,0.0003850000000000004,0.00019699999999999994,5.999999999999993e-05,0.0002339999999999999
2083,0.23562,0.002470000000000002,0.00038600000000000044,0.00019799999999999993,6.0999999999999924e-05,0.0002439999999999999
2084,0.23607,0.002490000000000002,0.00038700000000000046,0.00019899999999999993,6.199999999999992e-05,0.0002449999999999999
2085,0.23638,0.0025000000000000022,0.00040700000000000046,0.00020899999999999993,6.299999999999992e-05,0.0002459999999999999
2086,0.23666,0.0025100000000000022,0.0004080000000000005,0.00020999999999999993,6.399999999999992e-05,0.00024699999999999993
2087,0.23697000000000001,0.0025300000000000023,0.0004090000000000005,0.00021099999999999992,6.499999999999991e-05,0.00024799999999999996
2088,0.23727,0.0025500000000000024,0.00041900000000000054,0.00021199999999999992,6.599999999999991e-05,0.000258
2089,0.23758,0.0025700000000000024,0.00043900000000000053,0.00021299999999999992,6.699999999999991e-05,0.000268
2090,0.23788,0.0025710000000000025,0.00044900000000000056,0.00021399999999999992,6.79999999999999e-05,0.00026900000000000003
2091,0.23805,0.0025910000000000026,0.0004590000000000006,0.0002149999999999999,6.89999999999999e-05,0.00027000000000000006
2092,0.23825000000000002,0.0026010000000000026,0.0004600000000000006,0.0002159999999999999,6.99999999999999e-05,0.0002710000000000001
2093,0.23847000000000002,0.0026310000000000027,0.00046100000000000063,0.0002169999999999999,7.09999999999999e-05,0.0002720000000000001
2094,0.23865000000000003,0.002632000000000003,0.00046200000000000066,0.0002179999999999999,7.19999999999999e-05,0.00027300000000000013
2095,0.23876000000000003,0.002633000000000003,0.00048200000000000066,0.0002279999999999999,7.299999999999989e-05,0.00027400000000000015
2096,0.23897000000000002,0.002653000000000003,0.0004830000000000007,0.0002289999999999999,7.399999999999989e-05,0.0002750000000000002
2097,0.23926000000000003,0.002663000000000003,0.0004840000000000007,0.0002299999999999999,7.499999999999989e-05,0.0002760000000000002
2098,0.23940000000000003,0.002673000000000003,0.0004940000000000007,0.0002309999999999999,7.599999999999988e-05,0.00027700000000000023
2099,0.23952000000000004,0.002683000000000003,0.0005040000000000008,0.0002509999999999999,7.699999999999988e-05,0.00028700000000000025
2100,0.23965000000000003,0.002703000000000003,0.0005140000000000008,0.00025199999999999995,7.799999999999988e-05,0.0002880000000000003
2101,0.23980000000000004,0.002723000000000003,0.0005150000000000008,0.00025299999999999997,7.899999999999987e-05,0.0002890000000000003
2102,0.23994000000000004,0.0027630000000000033,0.0005250000000000008,0.000283,7.999999999999987e-05,0.0002900000000000003
2103,0.24013000000000004,0.0027730000000000033,0.0005260000000000009,0.000293,8.099999999999987e-05,0.00029100000000000035
2104,0.24033000000000004,0.0027740000000000035,0.0005360000000000009,0.000313,8.199999999999987e-05,0.0002920000000000004
2105,0.24056000000000005,0.0027840000000000035,0.0005460000000000009,0.00032300000000000004,8.299999999999986e-05,0.0002930000000000004
2106,0.24069000000000004,0.0027850000000000036,0.0005470000000000009,0.00032400000000000007,8.399999999999986e-05,0.0002940000000000004
2107,0.24089000000000005,0.0027950000000000036,0.000548000000000001,0.0003340000000000001,8.499999999999986e-05,0.00029500000000000045
2108,0.24107000000000006,0.0028050000000000037,0.000558000000000001,0.0003440000000000001,8.599999999999985e-05,0.00029600000000000047
2109,0.24123000000000006,0.002806000000000004,0.000588000000000001,0.00035400000000000015,8.699999999999985e-05,0.0002970000000000005
2110,0.24136000000000005,0.002816000000000004,0.000589000000000001,0.00035500000000000017,8.799999999999985e-05,0.0002980000000000005
2111,0.24154000000000006,0.002826000000000004,0.000609000000000001,0.0003650000000000002,8.899999999999985e-05,0.00029900000000000055
2112,0.24163000000000007,0.002836000000000004,0.0006100000000000011,0.0003850000000000002,8.999999999999984e-05,0.00030900000000000057
2113,0.24178000000000008,0.002866000000000004,0.0006200000000000011,0.0003950000000000002,9.099999999999984e-05,0.0003190000000000006
2114,0.24185000000000006,0.002886000000000004,0.0006210000000000011,0.00040500000000000025,9.199999999999984e-05,0.0003200000000000006
2115,0.24195000000000005,0.002926000000000004,0.0006610000000000011,0.0004150000000000003,9.299999999999983e-05,0.00033000000000000065
2116,0.24210000000000007,0.0029270000000000043,0.0006710000000000011,0.0004250000000000003,9.399999999999983e-05,0.0003310000000000007
2117,0.24228000000000008,0.0029670000000000044,0.0006910000000000012,0.00043500000000000033,9.499999999999983e-05,0.0003320000000000007
2118,0.24238000000000007,0.0029970000000000044,0.0007010000000000012,0.0004550000000000003,9.599999999999983e-05,0.0003330000000000007
2119,0.24245000000000005,0.0030070000000000045,0.0007110000000000012,0.00045600000000000035,9.699999999999982e-05,0.00033400000000000075
2120,0.24258000000000005,0.0030080000000000046,0.0007120000000000013,0.0004660000000000004,9.799999999999982e-05,0.00033500000000000077
2121,0.24265000000000003,0.0030090000000000047,0.0007130000000000013,0.0004760000000000004,9.899999999999982e-05,0.0003360000000000008
